"logFC","AveExpr","t","P.Value","adj.P.Val","B","comparison","gene_name","hit"
6.28858635174392,29.1949704441772,-109.308038344392,2.2896041712503e-12,4.74177023865938e-09,15.1837354616398,"GFP_WT-WT","sfGFP",TRUE
3.68378266184882,29.8131805969857,-60.0232834766799,1.38752168076556e-10,1.43677870043274e-07,13.7579609994279,"GFP_WT-WT","pstS",TRUE
2.75323824627439,28.4854463887927,-53.2093209264692,3.1639031235196e-10,2.18414778960303e-07,13.3179333219829,"GFP_WT-WT","phoU",TRUE
2.50575671551957,28.2147763273932,-42.0409857572153,1.58320596099476e-09,8.19704886305035e-07,12.295714745043,"GFP_WT-WT","pstB",TRUE
0.701360254509684,25.3917396739105,-10.2001105033791,2.16691888300332e-05,0.00845965739019764,3.18697521033473,"GFP_WT-WT","bioD",FALSE
-0.50839317208117,27.5794159713497,9.86432770704924,2.69049463760158e-05,0.00845965739019764,2.94997595270383,"GFP_WT-WT","glnK",FALSE
-0.595480036973502,25.5434173684381,9.77165598499424,2.85937236752214e-05,0.00845965739019764,2.88323376385875,"GFP_WT-WT","phoB",FALSE
0.69808426637346,25.9265070545443,-9.33467821294065,3.83696583660922e-05,0.00993294530952213,2.56039108584792,"GFP_WT-WT","VK055_3348",FALSE
0.754639825581125,28.72876552652,-8.30474619112803,8.06876042363479e-05,0.0178679226976578,1.74173200929456,"GFP_WT-WT","VK055_4242",FALSE
0.423513658794857,28.4343765440928,-8.21689321562916,8.62767875309404e-05,0.0178679226976578,1.66781926942423,"GFP_WT-WT","VK055_4244",FALSE
-0.412545769740609,26.3462413178475,7.880689590764,0.000112114300824607,0.0211080651825237,1.37854824449014,"GFP_WT-WT","hypB",FALSE
0.51098218866812,27.0860734243777,-7.38584570353535,0.000167725260962127,0.0289465846210471,0.933299506874949,"GFP_WT-WT","cydD",FALSE
-0.375734026114383,25.7298617026985,7.26610178776853,0.000185503015325193,0.029552057287575,0.821880598774669,"GFP_WT-WT","VK055_4458",FALSE
-0.427164270920641,24.4666004726641,6.82168534736154,0.000272835912218347,0.0403602267288712,0.395076943226552,"GFP_WT-WT","phoR",FALSE
0.404731394403747,26.1504601561281,-6.69562958499949,0.000305473418374979,0.0421756966303054,0.270058769786686,"GFP_WT-WT","sacA",FALSE
-0.328925123962511,28.2716405303113,6.33005087684497,0.000427943976438826,0.0499295808879437,-0.102918742448002,"GFP_WT-WT","VK055_3305",FALSE
-0.39401459495586,27.1671841738251,6.31010771361857,0.000436068838809401,0.0499295808879437,-0.123723010167023,"GFP_WT-WT","VK055_2985",FALSE
0.55146544880047,28.7963107512967,-6.28755415649951,0.000445466916631887,0.0499295808879437,-0.147308637396001,"GFP_WT-WT","lpxC",FALSE
-0.359905303931345,26.1393804098418,6.23008577665653,0.000470460742582711,0.0499295808879437,-0.207687769032857,"GFP_WT-WT","hypD",FALSE
-0.44822000241361,27.0450013243675,6.20431362758029,0.000482178473084922,0.0499295808879437,-0.234897040557098,"GFP_WT-WT","zapB",FALSE
-0.391850249548669,26.2701814251384,5.84373670087318,0.000685788182582581,0.0676317774346917,-0.624330386223671,"GFP_WT-WT","VK055_3933",FALSE
-0.304770587659587,25.357382989199,5.60384721564462,0.000874422865666307,0.0823149888543146,-0.892741884421527,"GFP_WT-WT","VK055_3988",FALSE
-0.333413967958261,26.8181648147727,5.52499453486328,0.00094861804925419,0.0854168686958882,-0.982647680589976,"GFP_WT-WT","VK055_4457",FALSE
2.60189560041006,26.0975345161574,-5.38409628064123,0.00109939409745607,0.0948685489929796,-1.14540338325127,"GFP_WT-WT","pstA",FALSE
0.327589770710296,28.2349763670318,-5.25981918744029,0.00125485144615123,0.0978102851052969,-1.29123243021967,"GFP_WT-WT","VK055_4245",FALSE
-0.279031184335867,28.7839712571644,5.25290550943905,0.00126419419185798,0.0978102851052969,-1.2994082517497,"GFP_WT-WT","ybeC",FALSE
-0.296631991287748,25.5323778922874,5.24485559933691,0.00127517030315935,0.0978102851052969,-1.30893616483096,"GFP_WT-WT","VK055_4459",FALSE
0.277645970264198,25.9634554097001,-5.12844838023955,0.00144637822656394,0.106980332400497,-1.44773484822023,"GFP_WT-WT","VK055_4243",FALSE
0.290491555858945,27.2949892054304,-5.05794517793749,0.00156245623473733,0.109940979974281,-1.53273177771534,"GFP_WT-WT","htpX",FALSE
0.306169410437601,25.0914462055075,-5.04060101284867,0.00159257817442223,0.109940979974281,-1.55374990128784,"GFP_WT-WT","ispZ",FALSE
-0.262473483606696,27.5831896106509,5.00634197217002,0.00165399502487382,0.110497538597216,-1.59539214987272,"GFP_WT-WT","VK055_2623",FALSE
0.274501484541727,25.3117594061547,-4.853239882434,0.0019626421666727,0.125820043388356,-1.7835479888216,"GFP_WT-WT","dhaB",FALSE
0.249105303332595,25.6093400322703,-4.8344000651134,0.00200485824810031,0.125820043388356,-1.80693484719578,"GFP_WT-WT","VK055_0956",FALSE
-0.292025715461634,28.591562452322,4.7799636616144,0.00213261395320844,0.129901279326314,-1.87479846904651,"GFP_WT-WT","VK055_2986",FALSE
0.24842235711557,24.3583578719017,-4.64996476227954,0.00247585877069323,0.146500100403019,-2.03860424397562,"GFP_WT-WT","putP",FALSE
0.237775500782995,25.4671005996016,-4.59785292490998,0.00263029690732393,0.151315135974107,-2.10495922102958,"GFP_WT-WT","VK055_4847",FALSE
-0.235334873625471,21.9489546160054,4.56276120382454,0.00274029607365881,0.152514786736222,-2.14986540781667,"GFP_WT-WT","bcsE",FALSE
0.364483925935469,25.3336907158684,-4.54483771922502,0.00279843645387564,0.152514786736222,-2.17287108730044,"GFP_WT-WT","VK055_3503",FALSE
0.32136904288161,28.5272429510011,-4.44589023994504,0.00314499665930626,0.167007386703161,-2.30071906986248,"GFP_WT-WT","folD",FALSE
-0.226831178712304,25.6390062162263,4.36284455240086,0.00347264881361024,0.17979639232467,-2.40912283559652,"GFP_WT-WT","yhjD",FALSE
0.219723339972791,26.6057056543554,-4.26151018779099,0.00392449620647319,0.196791264841503,-2.54275829651123,"GFP_WT-WT","narI",FALSE
0.328969775076521,24.9353827249932,-4.24770060069552,0.0039909382536664,0.196791264841503,-2.56108502549707,"GFP_WT-WT","marA",FALSE
0.2172563832023,29.0876394068703,-4.14348072802396,0.00453420743674255,0.217192935985548,-2.70028207533863,"GFP_WT-WT","aglB",FALSE
0.286373938705911,25.7215825460147,-4.12926192348776,0.00461443224691651,0.217192935985548,-2.71939373805372,"GFP_WT-WT","oppB",FALSE
0.211296420185228,30.4731868470261,-4.03886194208107,0.0051624344811084,0.237586706897233,-2.84157503329353,"GFP_WT-WT","cspE",FALSE
-0.262254241952117,26.3354287134133,4.00995326157079,0.00535245295464255,0.240976740631842,-2.88089112211945,"GFP_WT-WT","VK055_4452",FALSE
-0.210078023364401,23.7389255817559,3.98639003594615,0.00551301275142895,0.242924455493816,-2.91302423775575,"GFP_WT-WT","VK055_2701",FALSE
0.247490252993675,20.8627347228968,-3.90247790836261,0.00612909596707635,0.264444953079482,-3.02808373344234,"GFP_WT-WT","VK055_1298",FALSE
-0.207668135337726,29.3220403992058,3.86391837234811,0.00643713840099387,0.26552965938265,-3.08128222778407,"GFP_WT-WT","ygbF",FALSE
0.198997276743607,28.5599498010719,-3.84727584826094,0.00657528575991494,0.26552965938265,-3.10430578899991,"GFP_WT-WT","VK055_5076",FALSE
-0.198187513467338,23.8392102012703,3.83662343206705,0.00666540843965384,0.26552965938265,-3.11906229138169,"GFP_WT-WT","VK055_0728",FALSE
0.201917121991447,31.3246475349039,-3.83642623360055,0.00666708946784056,0.26552965938265,-3.1193356101347,"GFP_WT-WT","VK055_0954",FALSE
-0.20355410371969,26.3875895318007,3.80124257772112,0.0069745568175396,0.272534097530651,-3.16818452949607,"GFP_WT-WT","yfiA",FALSE
0.210316436099406,26.2743337072235,-3.76209310108003,0.00733498397979863,0.281310218928944,-3.2227347864644,"GFP_WT-WT","maa",FALSE
0.365661165272285,26.0933514193782,-3.71775819020581,0.00776785132060347,0.292494910635814,-3.28475572541479,"GFP_WT-WT","yadT",FALSE
0.238130434996134,31.1860671004609,-3.6570297872791,0.0084065532260254,0.299358952993551,-3.37012620756328,"GFP_WT-WT","rplC",FALSE
0.187466653281334,28.8737602796432,-3.63686519982121,0.00863109044878152,0.299358952993551,-3.39857794699143,"GFP_WT-WT","VK055_5023",FALSE
-0.205256852474405,25.0568089346737,3.62604240709086,0.00875428637447518,0.299358952993551,-3.41386994791952,"GFP_WT-WT","tesA",FALSE
-0.301401849689443,24.9227284601053,3.62284683995522,0.00879102594310107,0.299358952993551,-3.41838793818086,"GFP_WT-WT","VK055_3577",FALSE
-0.196029275351965,24.0592327438809,3.62221372444498,0.00879832476275321,0.299358952993551,-3.41928320915862,"GFP_WT-WT","VK055_0118",FALSE
0.231023567322934,25.1961335845883,-3.62055925087199,0.00881742932525668,0.299358952993551,-3.42162299272356,"GFP_WT-WT","VK055_0121",FALSE
0.209965731802851,26.7610912892342,-3.5973982448767,0.00908965856840096,0.303623917663845,-3.45441377605131,"GFP_WT-WT","lpxK",FALSE
-0.184007923634721,25.1502383821113,3.56715691457508,0.00945893067325566,0.31094357816369,-3.49732935622954,"GFP_WT-WT","VK055_3601",FALSE
-0.242708577903687,27.9771837246312,3.5409685429945,0.00979187972914503,0.316815687644847,-3.53458434939394,"GFP_WT-WT","arsC2",FALSE
0.182259789916694,30.3281766813779,-3.52909440356745,0.00994701098837239,0.316815687644847,-3.55150375484157,"GFP_WT-WT","narH",FALSE
0.181988318447701,29.1002597707986,-3.51697663687635,0.0101080750029343,0.316815687644847,-3.5687878565972,"GFP_WT-WT","infA",FALSE
