"","Entry.Name","logFC.limma","AveExpr.limma","t.limma","P.Value.limma","adj.P.Val.limma","B.limma","pval.fdrtool","qval.fdrtool","lfdr.fdrtool","hit_annotation_limma","score","comparison"
"1","CP009208_CDS_VK055_5108",-2.71752105195627,-2.71752105195626,-46.5805805650004,1.1079917611914e-07,0.00028663746862021,7.84882027635486,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"downregulated_strong","solubility","evolved-wt"
"2","CP009208_CDS_VK055_4264",2.07495752935637,2.07495752935636,32.7266893442507,6.22711023656667e-07,0.00080547670909989,6.84047941145688,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"upregulated","solubility","evolved-wt"
"3","CP009208_CDS_VK055_4243",0.912756427061721,0.912756427061721,24.7632300541288,2.42709252794215e-06,0.00153336920440215,5.79663968069546,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"4","CP009208_CDS_VK055_4244",0.927437594669503,0.927437594669502,23.7952786772901,2.94722407228842e-06,0.00153336920440215,5.63129787901038,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"5","CP009208_CDS_sacA",3.18353862680323,3.18353862680323,23.7682026231323,2.96360495632421e-06,0.00153336920440215,5.62652265165524,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"upregulated_strong","solubility","evolved-wt"
"6","CP009208_CDS_VK055_4245",0.713686426056864,0.713686426056864,22.7517549614837,3.66603413274606e-06,0.00158067171690234,5.44100177959992,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"7","CP009208_CDS_frwB",-0.781105870142082,-0.781105870142082,-21.3532679924866,4.99067006067869e-06,0.00184440906385368,5.16436782271942,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"8","CP009208_CDS_VK055_2961",0.653049269085615,0.653049269085615,20.2633017436579,6.43699685670196e-06,0.00196140419365669,4.92971621445221,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"9","CP009208_CDS_VK055_2843",0.798216643075434,0.798216643075434,20.0212938361197,6.82359402509093e-06,0.00196140419365669,4.87515830811453,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"10","CP009208_CDS_lacY5",1.55069965563959,1.55069965563959,18.9618428398599,8.8827868914755e-06,0.00229797696882471,4.62498512350142,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"upregulated","solubility","evolved-wt"
"11","CP009208_CDS_galK",0.592753937608214,0.592753937608214,18.3625776602034,1.03785602288997e-05,0.0023509076489558,4.47478984463121,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"12","CP009208_CDS_VK055_2111",0.626705683122218,0.626705683122218,17.8218996930759,1.1994714956238e-05,0.0023509076489558,4.33348674052913,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"13","CP009208_CDS_VK055_2627",-1.31108440534012,-1.31108440534012,-17.8149668408354,1.20173267832055e-05,0.0023509076489558,4.33163780020007,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"14","CP009208_CDS_lacZ",0.668011071902378,0.668011071902378,17.6063455056403,1.27223452204798e-05,0.0023509076489558,4.27554932900871,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"15","CP009208_CDS_fruA",-0.573271384855121,-0.573271384855121,-16.9389914056466,1.53366758617299e-05,0.00264506536361969,4.0900859660253,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"16","CP009208_CDS_VK055_3581",0.927981491242922,0.927981491242922,15.105325405527,2.66578591509273e-05,0.00431024260146556,3.52815266664537,2.22044604925031e-16,3.31902946189024e-14,3.31902946189024e-14,"no_hit","solubility","evolved-wt"
"17","CP009208_CDS_galT",0.470269546657334,0.470269546657334,14.7021042835591,3.03660890947761e-05,0.00462100426401093,3.39311156560236,4.44089209850063e-16,6.24758486944045e-14,2.65522356951219e-12,"no_hit","solubility","evolved-wt"
"18","CP009208_CDS_VK055_2630",-1.06676986214978,-1.06676986214978,-14.4334937487014,3.31821068477862e-05,0.00476900613417905,3.30062532454103,1.55431223447522e-15,2.06517388739837e-13,2.38970121256097e-11,"no_hit","solubility","evolved-wt"
"19","CP009208_CDS_ibpB",-0.958092705937415,-0.958092705937415,-13.9848173987504,3.86189230338393e-05,0.0052582712572917,3.14142396680287,1.15463194561016e-14,1.45338553278562e-12,6.40970969680243e-10,"no_hit","solubility","evolved-wt"
"20","CP009208_CDS_bglK",-0.507649462940511,-0.507649462940511,-13.2301221823428,5.03904538166409e-05,0.0065180052011825,2.85948595612202,2.79554157600614e-13,3.34292647401585e-11,1.69721890563219e-09,"no_hit","solubility","evolved-wt"
"21","CP009208_CDS_mglB",0.546725305132345,0.546725305132345,12.9188374435976,5.64742743582314e-05,0.00695709275070213,2.73767992244765,9.89208714941014e-13,1.12657342877874e-10,6.15082539877499e-09,"no_hit","solubility","evolved-wt"
"22","CP009208_CDS_alsE",-0.517560473573736,-0.517560473573736,-12.4702851217008,6.6867418408847e-05,0.00747404392124452,2.55610508024507,5.80424597274032e-12,6.06915647037203e-10,6.15082539877499e-09,"no_hit","solubility","evolved-wt"
"23","CP009208_CDS_galE",0.387448584568925,0.387448584568925,12.4560772607116,6.72324667549991e-05,0.00747404392124452,2.55023275316324,6.13287198802936e-12,6.37715434695015e-10,7.63801612005879e-09,"no_hit","solubility","evolved-wt"
"24","CP009208_CDS_VK055_1583",0.471108721613639,0.471108721613639,12.2739900636652,7.21291013354649e-05,0.00747404392124452,2.47429611683492,1.23545618180287e-11,1.18435025296191e-09,7.63801612005879e-09,"no_hit","solubility","evolved-wt"
"25","CP009208_CDS_VK055_5030",0.490069583600877,0.490069583600877,12.2705039690882,7.22269416432597e-05,0.00747404392124452,2.47282992448498,1.25202070933028e-11,1.19773948952412e-09,8.89055588375952e-08,"no_hit","solubility","evolved-wt"
"26","CP009208_CDS_scrB",0.450556491716546,0.450556491716546,11.8696953718152,8.46177002669683e-05,0.00841946117656334,2.30107166119677,5.64650548540158e-11,5.15781110813652e-09,8.89055588375952e-08,"no_hit","solubility","evolved-wt"
"27","CP009208_CDS_VK055_2033",0.39255344581623,0.39255344581623,11.7005378497421,9.060268406523e-05,0.00852770515138243,2.22663549438489,1.05103259429029e-10,9.14373824956324e-09,8.89055588375952e-08,"no_hit","solubility","evolved-wt"
"28","CP009208_CDS_iroD",-0.570073166942686,-0.570073166942686,-11.6550350866686,9.22983162886386e-05,0.00852770515138243,2.20640930288235,1.24041887872295e-10,1.0595005848246e-08,1.37014846633968e-07,"no_hit","solubility","evolved-wt"
"29","CP009208_CDS_VK055_4103",0.452302746345234,0.452302746345234,11.5039704966509,9.82068073822174e-05,0.00857559238599242,2.13863182573036,2.1405188732615e-10,1.73117872413963e-08,1.37014846633968e-07,"no_hit","solubility","evolved-wt"
"30","CP009208_CDS_galM",0.572998237282582,0.572998237282582,11.4736579196067,9.94463747892434e-05,0.00857559238599242,2.12491394386238,2.3862134490571e-10,1.90229952339608e-08,2.57679092049238e-07,"no_hit","solubility","evolved-wt"
"31","CP009208_CDS_VK055_4265",-0.619485479951586,-0.619485479951586,-11.3556769293667,0.00010445284482779,0.00867088378779206,2.07114194749809,3.63285845850214e-10,2.7885788123972e-08,2.57679092049238e-07,"no_hit","solubility","evolved-wt"
"32","CP009208_CDS_gudD",0.35065861083554,0.35065861083554,11.2925630992829,0.00010725484391548,0.00867088378779206,2.04212582361392,4.5410697424586e-10,3.39390012849156e-08,5.86754490659087e-07,"no_hit","solubility","evolved-wt"
"33","CP009208_CDS_VK055_4249",0.535647176772306,0.535647176772306,11.0993074543854,0.00011641201760677,0.00891980939360574,1.95217019378207,8.92672602503808e-10,6.31867176649534e-08,5.86754490659087e-07,"no_hit","solubility","evolved-wt"
"34","CP009208_CDS_mltA",-0.427290597316008,-0.427290597316008,-11.0829388068121,0.00011722981035276,0.00891980939360574,1.9444732305575,9.44783806744454e-10,6.64575594833963e-08,2.12647562399738e-06,"no_hit","solubility","evolved-wt"
"35","CP009208_CDS_VK055_4336",0.42505835282721,0.42505835282721,10.8898505222224,0.00012741527312501,0.00941780890212588,1.85274265269243,1.83392256936088e-09,1.2531521846951e-07,1.17365926697221e-05,"no_hit","solubility","evolved-wt"
"36","CP009208_CDS_VK055_4771",0.415098452173198,0.415098452173198,10.3428992394977,0.00016257589099098,0.011555199553888,1.58316768569633,1.1302814018066e-08,7.31987815718798e-07,1.17365926697221e-05,"no_hit","solubility","evolved-wt"
"37","CP009208_CDS_VK055_3067",-0.505923893838756,-0.505923893838756,-10.3070007128957,0.00016526570680087,0.011555199553888,1.5649505948487,1.26962378388384e-08,8.15954400803909e-07,1.17365926697221e-05,"no_hit","solubility","evolved-wt"
"38","CP009208_CDS_fepC",0.318504069561869,0.318504069561869,10.2245847181629,0.00017164503584782,0.0116854133615345,1.52287493315079,1.65561127030145e-08,1.04199501725261e-06,3.04973583779878e-05,"no_hit","solubility","evolved-wt"
"39","CP009208_CDS_VK055_2962",0.362414494688078,0.362414494688078,10.0451064310311,0.00018658600088965,0.0123768713923471,1.43000813115022,2.93079087665404e-08,1.79726074445094e-06,0.00016306674819651,"no_hit","solubility","evolved-wt"
"40","CP009208_CDS_VK055_2626",-1.0556601804536,-1.0556601804536,-9.65510324005628,0.00022477319650432,0.0145372064839171,1.22214888601024,9.80961902818933e-08,5.86390062545735e-06,0.00016306674819651,"no_hit","solubility","evolved-wt"
"41","CP009208_CDS_VK055_0748",-0.308488444991482,-0.308488444991482,-9.48123692516404,0.00024477295042753,0.0154445761647811,1.1266966795054,1.65673418983658e-07,9.66406501040529e-06,0.00016677326198232,"no_hit","solubility","evolved-wt"
